talk_id,presenter_id,keywords
1,1,COMEX
2,2,COMEX
3,3,COMEX
4,4,COMEX
5,5,COMEX
6,6,COMEX
7,7,COMEX
8,8,COMEX
9,9,COMEX
10,10,COMEX
11,11,COMEX
12,12,COMEX
13,13,COMEX
14,14,COMEX
15,15,COMEX
16,16,COMEX
17,17,COMEX
18,18,COMEX
19,19,COMEX
20,20,COMEX
21,21,COMEX
22,22,COMEX
23,23,COMEX
24,24,COMEX
25,25,COMEX
26,26,COMEX
27,27,COMEX
28,28,COMEX
29,29,COMEX
30,30,"COMEX,ORBEL"
31,31,ORBEL
32,32,ORBEL
33,33,ORBEL
34,34,ORBEL
35,35,
36,36,
37,37,
38,38,
39,39,
40,40,
41,41,
42,42,
43,43,
44,44,
45,45,
46,46,
47,47,
48,48,
49,49,
50,50,
51,51,
52,52,
53,53,
54,54,
55,55,
56,56,
57,57,
58,58,
59,59,
60,60,
61,61,
62,62,
63,63,
64,64,
65,65,
66,66,
67,67,
68,68,
69,69,
70,70,
71,71,
72,72,
73,73,
74,74,
75,75,
76,76,
77,77,
78,78,
79,79,
80,80,
