participant_id,talk_id
1,4
1,5
1,6
1,14
1,16
1,27
1,30
1,33
1,41
1,43
1,50
1,51
1,54
1,62
1,66
1,72
1,118
2,82
2,84
2,85
2,86
2,88
2,90
2,91
2,92
2,93
2,94
2,95
2,96
2,97
2,98
2,100
2,102
2,103
2,104
2,107
2,108
2,109
2,110
2,112
2,113
2,114
2,116
2,117
2,118
3,3
3,6
3,7
3,19
3,24
3,26
3,37
3,38
3,39
3,48
3,54
3,56
3,59
3,73
3,75
3,80
3,118
4,4
4,8
4,40
4,53
4,64
4,72
4,77
4,78
5,15
5,16
5,76
5,84
5,85
5,86
5,90
5,92
5,97
5,100
5,102
5,104
5,107
5,108
5,109
5,110
5,111
5,112
5,113
5,114
5,116
6,19
6,86
6,87
6,97
6,100
6,107
6,108
6,113
6,114
6,116
7,3
7,15
7,76
7,82
7,83
7,84
7,85
7,86
7,87
7,88
7,89
7,90
7,91
7,92
7,93
7,94
7,95
7,96
7,97
7,98
7,100
7,101
7,102
7,103
7,104
7,105
7,106
7,107
7,108
7,109
7,110
7,111
7,112
7,113
7,114
7,115
7,116
7,117
8,3
8,7
8,19
8,38
8,48
8,59
8,73
8,75
8,80
9,117
10,5
10,8
10,11
10,28
10,30
10,41
10,44
10,50
10,51
10,66
10,74
10,118
11,3
11,7
11,16
11,19
11,38
11,48
11,59
11,73
11,76
11,79
11,80
11,83
11,118
12,6
12,11
12,24
12,27
12,28
12,29
12,30
12,41
12,50
12,51
12,54
12,62
12,66
12,68
12,90
12,95
13,1
13,6
13,17
13,39
13,77
14,4
14,40
14,53
14,64
14,67
14,72
14,77
14,78
14,79
14,81
15,2
15,3
15,4
15,5
15,6
15,7
15,10
15,13
15,14
15,16
15,17
15,22
15,23
15,24
15,26
15,27
15,30
15,31
15,33
15,34
15,36
15,43
15,48
15,49
15,52
15,55
15,56
15,58
15,59
15,60
15,62
15,64
15,65
15,67
15,69
15,70
15,78
15,79
15,81
15,83
15,94
15,106
15,109
15,118
16,2
16,5
16,28
16,37
16,42
16,63
16,70
16,72
16,76
16,97
16,104
16,106
16,108
16,115
16,117
16,118
17,66
17,78
17,82
17,84
17,92
17,93
17,95
17,96
17,97
17,99
17,100
17,101
17,102
17,103
17,104
17,105
17,106
17,109
17,110
17,112
17,116
17,118
18,2
18,3
18,4
18,5
18,6
18,7
18,8
18,9
18,10
18,11
18,13
18,14
18,17
18,21
18,22
18,23
18,24
18,26
18,28
18,33
18,34
18,36
18,43
18,46
18,52
18,54
18,55
18,60
18,62
18,63
18,66
18,67
18,80
18,81
19,118
20,34
20,64
20,82
20,87
20,88
20,89
20,93
20,95
20,96
20,97
20,98
20,99
20,100
20,101
20,102
20,103
20,104
20,105
20,106
20,107
20,109
20,110
20,112
20,113
20,114
20,115
20,116
20,117
21,3
21,7
21,38
21,39
21,48
21,59
21,73
21,75
21,80
22,2
22,6
22,10
22,16
22,22
22,30
22,43
22,45
22,56
22,58
22,59
22,64
22,69
22,70
22,79
22,81
22,104
22,108
22,118
23,12
23,16
23,47
23,54
23,73
23,76
23,86
23,88
23,91
23,92
23,93
23,94
